广东频道,#genre#
广东卫视,http://114.243.108.168:8822/rtp/239.3.1.142:8048
广东卫视,http://123.113.237.36:8012/rtp/239.3.1.142:8048
广东卫视,http://114.243.105.128:8822/rtp/239.3.1.142:8048
广东卫视,http://222.129.32.189:8686/rtp/239.3.1.142:8048
浙江卫视,http://111.193.225.167:8888/rtp/239.3.1.137:8036
浙江卫视,http://114.241.166.2:8888/rtp/239.3.1.137:8036
浙江卫视,http://114.240.43.183:8888/rtp/239.3.1.137:8036
浙江卫视,http://114.243.104.92:8888/rtp/239.3.1.137:8036
浙江卫视,http://123.117.51.57:5555/rtp/239.3.1.137:8036
浙江卫视,http://123.123.167.240:8000/rtp/239.3.1.137:8036
浙江卫视,http://123.118.107.183:4022/rtp/239.3.1.137:8036
浙江卫视,http://114.252.227.154:8000/rtp/239.3.1.137:8036
浙江卫视,http://221.221.92.194:8888/rtp/239.3.1.137:8036
浙江卫视,http://114.243.107.72:8822/rtp/239.3.1.137:8036
浙江卫视,http://221.221.146.211:8182/rtp/239.3.1.137:8036
浙江卫视,http://114.243.108.168:8822/rtp/239.3.1.137:8036
浙江卫视,http://123.113.237.36:8012/rtp/239.3.1.137:8036
浙江卫视,http://114.243.105.128:8822/rtp/239.3.1.137:8036
浙江卫视,http://222.129.32.189:8686/rtp/239.3.1.137:8036
湖南卫视,http://111.193.225.167:8888/rtp/239.3.1.132:8012
湖南卫视,http://114.241.166.2:8888/rtp/239.3.1.132:8012
湖南卫视,http://114.240.43.183:8888/rtp/239.3.1.132:8012
湖南卫视,http://114.243.104.92:8888/rtp/239.3.1.132:8012
湖南卫视,http://123.117.51.57:5555/rtp/239.3.1.132:8012
湖南卫视,http://123.123.167.240:8000/rtp/239.3.1.132:8012
湖南卫视,http://123.118.107.183:4022/rtp/239.3.1.132:8012
湖南卫视,http://114.252.227.154:8000/rtp/239.3.1.132:8012
湖南卫视,http://221.221.92.194:8888/rtp/239.3.1.132:8012
湖南卫视,http://114.243.107.72:8822/rtp/239.3.1.132:8012
湖南卫视,http://221.221.146.211:8182/rtp/239.3.1.132:8012
湖南卫视,http://114.243.108.168:8822/rtp/239.3.1.132:8012
湖南卫视,http://123.113.237.36:8012/rtp/239.3.1.132:8012
湖南卫视,http://114.243.105.128:8822/rtp/239.3.1.132:8012
湖南卫视,http://222.129.32.189:8686/rtp/239.3.1.132:8012
北京卫视,http://113.195.162.70:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://61.136.67.238:50085/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://59.173.243.210:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://218.87.237.106:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://61.136.172.236:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://58.48.5.186:1111/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://59.173.183.242:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://60.12.183.46:9901/tsfile/live/0015_2.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://220.164.192.48:50085/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://58.19.38.162:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://117.27.190.42:9998/tsfile/live/23257_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://202.100.46.58:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://123.138.216.44:9902/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://123.129.70.178:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://223.241.247.214:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://111.193.225.167:8888/rtp/239.3.1.138:8044
湖北卫视,http://114.241.166.2:8888/rtp/239.3.1.138:8044
湖北卫视,http://114.240.43.183:8888/rtp/239.3.1.138:8044
湖北卫视,http://114.243.104.92:8888/rtp/239.3.1.138:8044
湖北卫视,http://123.117.51.57:5555/rtp/239.3.1.138:8044
湖北卫视,http://123.123.167.240:8000/rtp/239.3.1.138:8044
湖北卫视,http://123.118.107.183:4022/rtp/239.3.1.138:8044
湖北卫视,http://114.252.227.154:8000/rtp/239.3.1.138:8044
湖北卫视,http://221.221.92.194:8888/rtp/239.3.1.138:8044
湖北卫视,http://114.243.107.72:8822/rtp/239.3.1.138:8044
湖北卫视,http://221.221.146.211:8182/rtp/239.3.1.138:8044
湖北卫视,http://114.243.108.168:8822/rtp/239.3.1.138:8044
湖北卫视,http://123.113.237.36:8012/rtp/239.3.1.138:8044
湖北卫视,http://114.243.105.128:8822/rtp/239.3.1.138:8044
湖北卫视,http://222.129.32.189:8686/rtp/239.3.1.138:8044
黑龙江卫视,http://111.193.225.167:8888/rtp/239.3.1.133:8016
